EmployeeID,FirstName,LastName,Gender,Email,Phone,DateOfBirth,Department,Position,Salary,HireDate
49,Steven,Ruiz,Male,matthewbrooks@grimes.com,(351)687-0910,1969-06-24,HR,Developer,86798.3,2017-07-03
50,Robert,Kerr,Female,thughes@mcguire-ingram.net,217-603-9356x60720,1991-06-03,HR,Executive,47181.67,2020-11-28
51,Melissa,Peters,Male,danny17@yahoo.com,6088332152,1972-04-07,Finance,Analyst,87293.8,2019-06-20
52,Marcus,Sullivan,Male,nthompson@gmail.com,509.153.7605x659,2002-06-21,Sales,Consultant,40095.79,2018-04-06
53,Samantha,Conner,Other,xgonzalez@myers.com,594-619-2100,1996-07-10,Legal,Executive,93803.06,2022-11-22
54,Michael,Johnson,Female,jared17@yahoo.com,+1-638-716-7524,2001-11-28,Sales,Analyst,90311.1,2022-01-12
55,Matthew,Gaines,Male,lawsonangela@collier.net,079-719-0483,1976-05-19,Finance,Analyst,79172.54,2021-12-07
56,Anne,Green,Other,maria29@gmail.com,(449)448-0477,1973-07-14,Marketing,Manager,52103.03,2023-04-29
57,Tanya,Day,Male,stevenslaura@hotmail.com,(299)631-9167x782,2001-03-15,Sales,Engineer,95557.73,2015-06-29
58,Katelyn,Cook,Other,arthurkelly@yahoo.com,552.872.6975x46607,1965-09-01,Marketing,Engineer,44717.65,2016-07-17
59,Maria,Parker,Male,jessica72@hernandez.net,001-941-058-1285,1994-10-09,Legal,Executive,78479.76,2021-03-15
60,Andrew,Phelps,Female,omoore@gmail.com,966-249-6760,1987-09-17,IT,Developer,54739.85,2015-06-27
61,Scott,Moreno,Female,torresluis@jones-garcia.com,4892665039,1980-09-17,Sales,Manager,52290.26,2015-08-21
62,James,Carroll,Other,ibates@gutierrez-massey.com,(554)103-0526x06582,1967-12-25,Operations,Engineer,63681.87,2020-11-11
63,Amanda,White,Other,erin38@yahoo.com,+1-216-564-7673,2002-01-03,Legal,Analyst,44321.74,2018-01-05
64,Hector,Brown,Female,laurajohnson@lynch.com,(346)429-3288x2214,1970-09-24,Operations,Analyst,66063.45,2018-09-02
65,Andrea,Cardenas,Female,garrettharvey@miller-graves.com,001-988-236-0157x669,1963-11-30,Sales,Executive,90520.15,2015-09-15
66,Jonathan,Sanders,Male,dawn32@torres.net,370-214-0089x158,1964-01-06,Customer Support,Coordinator,119406.27,2023-04-13
67,Christina,Hughes,Female,vangashley@gmail.com,001-549-522-8099x747,1966-07-21,Customer Support,Analyst,41737.69,2024-03-04
68,Diana,Green,Other,raykaren@davis-morales.com,+1-210-829-8688x03937,1984-03-19,Sales,Consultant,109405.62,2021-08-12
69,Yolanda,Mcdaniel,Female,alisha72@mclaughlin.net,193-004-3601x6881,1990-10-04,HR,Executive,70236.57,2017-01-06
70,Lauren,Parker,Male,zford@gmail.com,817.148.2763x41138,1994-04-17,Customer Support,Coordinator,91962.5,2021-02-13
71,Crystal,Steele,Female,dillonyoung@smith.com,+1-692-705-1984x9887,1973-03-03,Legal,Assistant,45707.05,2022-11-10
72,Michelle,Wise,Other,mckeejane@yahoo.com,+1-095-202-4817x055,1999-03-21,HR,Assistant,67383.08,2019-07-28
73,Kim,Johnson,Other,kyle67@gmail.com,651-414-4834x0447,1999-06-27,Finance,Analyst,71417.04,2020-11-06
74,Jill,Mccarthy,Male,qcain@hotmail.com,641.168.4624x437,1967-09-11,Finance,Developer,60375.05,2020-02-12
75,Michelle,Miller,Female,grosstyler@brown.info,742-469-1515,1996-10-15,Sales,Consultant,67333.38,2018-07-15
76,Nicole,Ibarra,Female,lindaschmidt@hotmail.com,+1-982-990-1917x53604,1983-11-02,HR,Assistant,92239.05,2017-12-28
77,Joshua,Morales,Male,usnyder@yahoo.com,087.010.7081x680,1993-07-28,Marketing,Analyst,68165.28,2024-04-15
78,Preston,Lopez,Male,courtneyholmes@mendez.com,231-473-0568,1981-09-03,Marketing,Coordinator,81129.33,2015-07-07
79,Rachel,Wallace,Other,jodi68@hotmail.com,971-858-7973,1966-08-05,HR,Consultant,43197.75,2016-02-03
80,Travis,Patton,Other,arianawise@campbell.net,(409)349-5141x01930,1976-01-04,Customer Support,Coordinator,67639.17,2020-03-14
81,Seth,Anderson,Other,vyang@yahoo.com,+1-513-909-2391,1990-04-24,Operations,Coordinator,114234.03,2017-09-14
82,Lisa,Perez,Other,robertbell@carpenter.com,783-746-1474x45966,1978-09-21,Operations,Executive,76362.71,2019-08-19
83,Angela,Brown,Other,wigginsnathaniel@lewis.com,531-386-6855,1989-11-16,Sales,Coordinator,53370.27,2018-11-25
84,Joseph,Richards,Other,cstone@hotmail.com,(692)905-5195x9960,1980-06-14,Operations,Coordinator,102841.1,2018-05-27
85,Jessica,Hunt,Male,dsmith@clark.net,(609)895-2710x861,1996-04-17,Legal,Executive,48755.79,2017-06-20
86,David,Rodriguez,Other,wavila@morrison-moore.com,(522)224-5225,1970-01-21,Customer Support,Assistant,110325.28,2024-03-02
87,Joseph,James,Female,levans@nolan.biz,001-207-941-2722x1152,1993-12-11,Sales,Analyst,81822.39,2016-10-05
88,Shane,Bell,Female,alexandramathews@conley.com,001-283-364-5021x2042,1970-03-26,Marketing,Developer,53382.92,2018-11-30
89,Ryan,Ramirez,Female,heidisimmons@perry.com,572-698-1081x51095,1966-04-06,IT,Assistant,83831.43,2020-06-04
90,Carol,Murphy,Male,calebmartinez@brown-cabrera.biz,+1-263-658-3926,1996-03-22,Legal,Assistant,45448.0,2023-11-27
91,Cody,Fernandez,Other,wagnercarrie@yahoo.com,746-995-6725x6332,1979-09-25,IT,Executive,48389.89,2019-10-15
92,Andrew,Mcdonald,Male,cryan@gmail.com,393.133.7893x5257,1983-04-15,Finance,Analyst,69487.64,2017-08-16
93,Todd,Bryant,Female,khaas@hotmail.com,001-191-295-9457x578,1973-05-25,HR,Manager,46112.39,2024-03-16
94,Travis,Marshall,Other,jennifer22@gmail.com,(054)892-8385x158,1980-02-17,HR,Manager,48701.64,2022-05-14
95,Gabriel,Austin,Other,thomas12@smith-andrade.com,6918598184,2000-08-26,IT,Developer,80311.64,2019-10-22
96,Anthony,Carr,Other,matthew43@hotmail.com,5334510340,2000-11-10,Sales,Engineer,58246.58,2015-03-11
97,Kimberly,Stevens,Female,nathangriffin@webb-david.info,083-646-8989x5290,2001-05-23,Marketing,Coordinator,53399.28,2015-04-25
98,Dan,Cole,Male,evanssusan@gmail.com,001-434-455-0516x808,1967-07-28,Customer Support,Developer,46361.76,2015-12-29
99,Miranda,Daniels,Female,sberry@lucas.biz,805-269-8837x5422,1968-10-21,Legal,Consultant,109108.3,2023-12-02
100,David,Hammond,Other,daniel45@stephens.biz,001-827-420-0810x057,1970-12-05,Finance,Manager,99458.56,2023-03-16
